Customer ID,Recency,Frequency,Monetary,RScore,FScore,MScore,RFMScore,RFMTotal,Cluster,Segment
12419.0,21,2,503.01,3,2,2,322,7,0,High Value
12421.0,51,2,291.56,3,2,1,321,6,0,High Value
12422.0,30,14,4428.24,3,4,4,344,11,0,High Value
12423.0,23,2,763.08,3,2,3,323,8,0,High Value
12424.0,58,2,1579.07,2,2,3,223,7,0,High Value
12425.0,84,1,964.21,2,1,3,213,6,0,High Value
12426.0,298,1,762.48,1,1,3,113,5,2,At Risk
12427.0,7,1,303.5,4,1,1,411,6,0,High Value
12429.0,1,5,3735.51,4,3,4,434,11,0,High Value
12431.0,9,13,4370.52,4,4,4,444,12,0,High Value
12433.0,2,5,7205.39,4,3,4,434,11,0,High Value
12434.0,17,1,297.29,4,1,1,411,6,0,High Value
12435.0,32,4,6096.04,3,3,4,334,10,0,High Value
12437.0,31,21,7731.99,3,4,4,344,11,0,High Value
12439.0,318,2,1158.18,1,2,3,123,6,2,At Risk
12440.0,98,2,859.2,2,2,3,223,7,0,High Value
12441.0,2,1,173.55,4,1,1,411,6,0,High Value
12443.0,368,1,485.31,1,1,2,112,4,2,At Risk
12445.0,56,1,301.58000000000004,2,1,1,211,4,0,High Value
12449.0,46,2,768.6,3,2,3,323,8,0,High Value
12450.0,35,3,490.32,3,3,2,332,8,0,High Value
12451.0,99,3,3634.36,2,3,4,234,9,0,High Value
12454.0,31,4,13151.44,3,3,4,334,10,0,High Value
12455.0,81,4,3413.09,2,3,4,234,9,0,High Value
12457.0,71,1,632.68,2,1,2,212,5,0,High Value
12458.0,63,2,830.09,2,2,3,223,7,0,High Value
12459.0,241,1,454.36,1,1,2,112,4,2,At Risk
12460.0,92,1,326.65,2,1,2,212,5,0,High Value
12466.0,318,1,56.73,1,1,1,111,3,2,At Risk
12467.0,59,1,132.8,2,1,1,211,4,0,High Value
12468.0,162,3,2941.2,1,3,4,134,8,2,At Risk
12469.0,158,2,3070.54,1,2,4,124,7,2,At Risk
12470.0,325,1,211.95,1,1,1,111,3,2,At Risk
12471.0,10,49,20139.739999999998,4,4,4,444,12,3,Low Value
12472.0,5,13,11308.48,4,4,4,444,12,0,High Value
12474.0,14,13,5048.66,4,4,4,444,12,0,High Value
12475.0,45,1,426.26,3,1,2,312,6,0,High Value
12476.0,32,12,7298.99,3,4,4,344,11,0,High Value
12477.0,35,3,7056.63,3,3,4,334,10,0,High Value
12480.0,35,3,2183.2200000000003,3,3,4,334,10,0,High Value
12481.0,1,6,6765.07,4,4,4,444,12,0,High Value
12482.0,212,29,23691.4,1,4,4,144,9,3,Low Value
12483.0,14,11,2635.6,4,4,4,444,12,0,High Value
12484.0,119,6,1828.43,2,4,4,244,10,0,High Value
12485.0,165,1,708.1,1,1,3,113,5,2,At Risk
12486.0,67,1,1037.28,2,1,3,213,6,0,High Value
12487.0,366,1,285.29999999999995,1,1,1,111,3,2,At Risk
12490.0,14,11,4405.71,4,4,4,444,12,0,High Value
12492.0,39,1,452.0,3,1,2,312,6,0,High Value
12494.0,1,3,626.77,4,3,2,432,9,0,High Value
12495.0,276,1,357.4,1,1,2,112,4,2,At Risk
12496.0,256,2,54.09,1,2,1,121,4,2,At Risk
12497.0,36,2,5205.400000000001,3,2,4,324,9,0,High Value
12499.0,196,1,393.72,1,1,2,112,4,2,At Risk
12500.0,71,8,1697.39,2,4,3,243,9,0,High Value
12503.0,220,1,1126.0,1,1,3,113,5,2,At Risk
12504.0,53,2,297.0,3,2,1,321,6,0,High Value
12505.0,44,1,955.2,3,1,3,313,7,0,High Value
12507.0,220,1,539.25,1,1,2,112,4,2,At Risk
12510.0,95,7,4195.45,2,4,4,244,10,0,High Value
12511.0,64,1,3084.02,2,1,4,214,7,0,High Value
12514.0,277,1,580.08,1,1,2,112,4,2,At Risk
12516.0,66,2,1336.56,2,2,3,223,7,0,High Value
12519.0,112,1,385.7,2,1,2,212,5,0,High Value
12523.0,10,12,2582.38,4,4,4,444,12,0,High Value
12524.0,24,9,6640.39,3,4,4,344,11,0,High Value
12525.0,134,3,973.73,2,3,3,233,8,0,High Value
12527.0,130,2,386.8,2,2,2,222,6,0,High Value
12529.0,164,1,316.48,1,1,2,112,4,2,At Risk
12530.0,51,5,2096.98,3,3,4,334,10,0,High Value
12531.0,322,1,1807.98,1,1,4,114,6,2,At Risk
12533.0,263,2,1367.89,1,2,3,123,6,2,At Risk
12537.0,44,1,732.94,3,1,3,313,7,0,High Value
12538.0,14,1,276.5,4,1,1,411,6,0,High Value
12539.0,86,3,5646.400000000001,2,3,4,234,9,0,High Value
12540.0,14,16,8854.25,4,4,4,444,12,0,High Value
12542.0,120,2,481.88,2,2,2,222,6,0,High Value
12543.0,84,1,980.25,2,1,3,213,6,0,High Value
12547.0,136,1,175.78,2,1,1,211,4,0,High Value
12549.0,211,6,1575.68,1,4,3,143,8,2,At Risk
12553.0,21,2,916.47,3,2,3,323,8,0,High Value
12554.0,84,1,468.5,2,1,2,212,5,0,High Value
12555.0,318,1,129.23,1,1,1,111,3,2,At Risk
12557.0,7,4,6725.18,4,3,4,434,11,0,High Value
12562.0,21,2,1185.18,3,2,3,323,8,0,High Value
12563.0,44,1,249.24,3,1,1,311,5,0,High Value
12567.0,3,7,4308.58,4,4,4,444,12,0,High Value
12568.0,280,1,70.0,1,1,1,111,3,2,At Risk
12570.0,318,1,77.52,1,1,1,111,3,2,At Risk
12573.0,17,4,556.87,4,3,2,432,9,0,High Value
12575.0,93,2,622.8199999999999,2,2,2,222,6,0,High Value
12576.0,28,3,826.89,3,3,3,333,9,0,High Value
12577.0,17,5,995.9499999999999,4,3,3,433,10,0,High Value
12578.0,21,2,1847.94,3,2,4,324,9,0,High Value
12580.0,212,1,637.2,1,1,2,112,4,2,At Risk
12582.0,58,2,1469.04,2,2,3,223,7,0,High Value
12583.0,9,13,7166.0599999999995,4,4,4,444,12,0,High Value
12586.0,10,3,1865.73,4,3,4,434,11,0,High Value
12588.0,35,3,743.88,3,3,3,333,9,0,High Value
12589.0,57,6,4048.98,2,4,4,244,10,0,High Value
12591.0,26,2,899.3,3,2,3,323,8,0,High Value
12592.0,155,3,2145.06,1,3,4,134,8,2,At Risk
12594.0,14,5,1751.89,4,3,4,434,11,0,High Value
12595.0,140,1,299.02,1,1,1,111,3,2,At Risk
12598.0,99,3,1511.01,2,3,3,233,8,0,High Value
12599.0,17,6,1264.14,4,4,3,443,11,0,High Value
12600.0,7,12,2444.88,4,4,4,444,12,0,High Value
12601.0,40,1,104.19999999999999,3,1,1,311,5,0,High Value
12605.0,12,4,1232.95,4,3,3,433,10,0,High Value
12606.0,318,1,21.0,1,1,1,111,3,2,At Risk
12608.0,40,1,415.79,3,1,2,312,6,0,High Value
12609.0,10,6,2309.01,4,4,4,444,12,0,High Value
12613.0,24,5,3490.69,3,3,4,334,10,0,High Value
12615.0,49,4,3449.79,3,3,4,334,10,0,High Value
12616.0,24,1,417.8,3,1,2,312,6,0,High Value
12619.0,196,1,140.14,1,1,1,111,3,2,At Risk
12621.0,1,16,11086.14,4,4,4,444,12,0,High Value
12623.0,52,6,3442.7400000000002,3,4,4,344,11,0,High Value
12625.0,145,2,2481.06,1,2,4,124,7,2,At Risk
12629.0,21,2,1558.22,3,2,3,323,8,0,High Value
12631.0,92,5,2841.07,2,3,4,234,9,0,High Value
12632.0,156,2,804.88,1,2,3,123,6,2,At Risk
12633.0,18,3,3514.18,4,3,4,434,11,0,High Value
12634.0,171,2,490.0,1,2,2,122,5,2,At Risk
12635.0,28,2,1241.23,3,2,3,323,8,0,High Value
12636.0,374,1,141.0,1,1,1,111,3,2,At Risk
12637.0,14,4,2318.41,4,3,4,434,11,0,High Value
12638.0,275,1,249.8,1,1,1,111,3,2,At Risk
12639.0,70,2,826.27,2,2,3,223,7,0,High Value
12643.0,21,6,5005.78,3,4,4,344,11,0,High Value
12644.0,66,3,1440.58,2,3,3,233,8,0,High Value
12645.0,45,4,1764.12,3,3,4,334,10,0,High Value
12647.0,3,27,14201.53,4,4,4,444,12,0,High Value
12648.0,73,3,793.95,2,3,3,233,8,0,High Value
12649.0,18,5,1671.1399999999999,4,3,3,433,10,0,High Value
12651.0,14,3,263.75,4,3,1,431,8,0,High Value
12652.0,70,1,97.05000000000001,2,1,1,211,4,0,High Value
12653.0,162,1,1950.98,1,1,4,114,6,2,At Risk
12655.0,59,1,261.35,2,1,1,211,4,0,High Value
12656.0,61,3,2356.66,2,3,4,234,9,0,High Value
12661.0,72,1,162.0,2,1,1,211,4,0,High Value
12662.0,9,10,3138.2400000000002,4,4,4,444,12,0,High Value
12663.0,260,2,239.4,1,2,1,121,4,2,At Risk
12664.0,150,2,1188.16,1,2,3,123,6,2,At Risk
12665.0,53,2,250.6,3,2,1,321,6,0,High Value
12666.0,30,1,1248.42,3,1,3,313,7,0,High Value
12668.0,14,6,7637.53,4,4,4,444,12,0,High Value
12670.0,21,2,764.24,3,2,3,323,8,0,High Value
12671.0,242,1,2622.481,1,1,4,114,6,2,At Risk
12672.0,231,1,211.15,1,1,1,111,3,2,At Risk
12673.0,37,1,619.5,3,1,2,312,6,0,High Value
12675.0,189,2,958.5,1,2,3,123,6,2,At Risk
12676.0,44,5,1511.7,3,3,3,333,9,0,High Value
12677.0,191,2,395.1,1,2,2,122,5,2,At Risk
12678.0,11,9,16652.72,4,4,4,444,12,0,High Value
12681.0,3,24,17080.74,4,4,4,444,12,0,High Value
12682.0,1,23,11745.69,4,4,4,444,12,0,High Value
12683.0,1,8,4220.21,4,4,4,444,12,0,High Value
12686.0,7,1,89.14,4,1,1,411,6,0,High Value
12687.0,116,2,2138.91,2,2,4,224,8,0,High Value
12691.0,56,1,134.6,2,1,1,211,4,0,High Value
12692.0,273,1,110.95,1,1,1,111,3,2,At Risk
12693.0,32,3,847.11,3,3,3,333,9,0,High Value
12694.0,57,1,973.68,2,1,3,213,6,0,High Value
12695.0,164,3,825.02,1,3,3,133,7,2,At Risk
12696.0,70,2,851.91,2,2,3,223,7,0,High Value
12698.0,226,1,339.75,1,1,2,112,4,2,At Risk
12699.0,53,1,638.11,3,1,2,312,6,0,High Value
12701.0,165,4,1648.7,1,3,3,133,7,2,At Risk
12703.0,269,3,722.98,1,3,3,133,7,2,At Risk
12705.0,19,5,4893.81,3,3,4,334,10,0,High Value
12708.0,4,9,2601.19,4,4,4,444,12,0,High Value
12709.0,2,20,21356.82,4,4,4,444,12,0,High Value
12711.0,247,2,1339.05,1,2,3,123,6,2,At Risk
12712.0,1,10,2797.53,4,4,4,444,12,0,High Value
12714.0,24,7,9384.85,3,4,4,344,11,0,High Value
12717.0,226,1,277.93,1,1,1,111,3,2,At Risk
12720.0,5,6,2478.94,4,4,4,444,12,0,High Value
12721.0,21,2,1356.95,3,2,3,323,8,0,High Value
12724.0,19,3,1286.11,3,3,3,333,9,0,High Value
12725.0,7,4,2266.76,4,3,4,434,11,0,High Value
12726.0,23,4,1405.5,3,3,3,333,9,0,High Value
12727.0,78,3,1698.8300000000002,2,3,3,233,8,0,High Value
12728.0,19,1,233.84,3,1,1,311,5,0,High Value
12730.0,157,1,829.25,1,1,3,113,5,2,At Risk
12731.0,78,5,6879.8,2,3,4,234,9,0,High Value
12733.0,25,3,2040.92,3,3,4,334,10,0,High Value
12734.0,10,2,529.25,4,2,2,422,8,0,High Value
12737.0,134,2,3710.5,2,2,4,224,8,0,High Value
12738.0,8,1,155.35,4,1,1,411,6,0,High Value
12739.0,21,2,1713.69,3,2,3,323,8,0,High Value
12741.0,165,2,406.07,1,2,2,122,5,2,At Risk
12742.0,261,1,1201.52,1,1,3,113,5,2,At Risk
12744.0,95,4,4037.77,2,3,4,234,9,0,High Value
12745.0,122,3,925.41,2,3,3,233,8,0,High Value
12746.0,176,1,254.55,1,1,1,111,3,2,At Risk
12747.0,5,16,5080.53,4,4,4,444,12,0,High Value
12748.0,1,144,22879.66,4,4,4,444,12,3,Low Value
12749.0,35,4,2806.48,3,3,4,334,10,0,High Value
12751.0,80,1,268.27,2,1,1,211,4,0,High Value
12755.0,1,10,5218.709999999999,4,4,4,444,12,0,High Value
12758.0,95,5,7111.650000000001,2,3,4,234,9,0,High Value
12759.0,22,5,3489.3,3,3,4,334,10,0,High Value
12760.0,91,1,347.8,2,1,2,212,5,0,High Value
12761.0,93,2,782.95,2,2,3,223,7,0,High Value
12763.0,5,1,320.08,4,1,2,412,7,0,High Value
12765.0,108,6,1404.58,2,4,3,243,9,0,High Value
12766.0,2,3,3078.65,4,3,4,434,11,0,High Value
12767.0,11,1,949.82,4,1,3,413,8,0,High Value
12768.0,86,1,168.69000000000003,2,1,1,211,4,0,High Value
12770.0,92,1,1895.0,2,1,4,214,7,0,High Value
12771.0,121,1,282.3,2,1,1,211,4,0,High Value
12773.0,200,1,124.25,1,1,1,111,3,2,At Risk
12774.0,171,1,98.7,1,1,1,111,3,2,At Risk
12775.0,24,2,300.08,3,2,1,321,6,0,High Value
12776.0,303,1,55.5,1,1,1,111,3,2,At Risk
12777.0,93,1,519.45,2,1,2,212,5,0,High Value
12778.0,32,3,953.45,3,3,3,333,9,0,High Value
12779.0,7,7,2740.91,4,4,4,444,12,0,High Value
12780.0,234,1,337.4,1,1,2,112,4,2,At Risk
12782.0,10,6,2287.32,4,4,4,444,12,0,High Value
12784.0,165,1,1230.33,1,1,3,113,5,2,At Risk
12785.0,171,2,788.45,1,2,3,123,6,2,At Risk
12786.0,245,1,728.5,1,1,3,113,5,2,At Risk
12787.0,49,1,398.52,3,1,2,312,6,0,High Value
12788.0,99,4,444.9,2,3,2,232,7,0,High Value
12789.0,148,2,181.5,1,2,1,121,4,2,At Risk
12790.0,46,1,266.93,3,1,1,311,5,0,High Value
12791.0,9,6,863.51,4,4,3,443,11,0,High Value
12792.0,170,1,426.47,1,1,2,112,4,2,At Risk
12793.0,7,2,471.85,4,2,2,422,8,0,High Value
12796.0,264,1,381.0,1,1,2,112,4,2,At Risk
12797.0,1,2,552.08,4,2,2,422,8,0,High Value
12798.0,57,1,1533.8899999999999,2,1,3,213,6,0,High Value
12799.0,165,1,219.35,1,1,1,111,3,2,At Risk
12800.0,106,3,584.25,2,3,2,232,7,0,High Value
12801.0,136,1,1071.82,2,1,3,213,6,0,High Value
12802.0,78,6,1988.84,2,4,4,244,10,0,High Value
12803.0,29,1,1092.81,3,1,3,313,7,0,High Value
12804.0,101,2,327.02,2,2,2,222,6,0,High Value
12805.0,17,4,1434.95,4,3,3,433,10,0,High Value
12806.0,71,4,2878.96,2,3,4,234,9,0,High Value
12807.0,19,1,330.35,3,1,2,312,6,0,High Value
12808.0,4,3,422.45,4,3,2,432,9,0,High Value
12809.0,201,2,1266.63,1,2,3,123,6,2,At Risk
12810.0,170,2,534.99,1,2,2,122,5,2,At Risk
12811.0,14,2,519.05,4,2,2,422,8,0,High Value
12813.0,137,3,1687.8,1,3,3,133,7,0,High Value
12817.0,35,2,524.94,3,2,2,322,7,0,High Value
12819.0,94,1,540.52,2,1,2,212,5,0,High Value
12820.0,33,7,1747.18,3,4,4,344,11,0,High Value
12821.0,247,1,128.07999999999998,1,1,1,111,3,2,At Risk
12823.0,30,13,4742.0,3,4,4,344,11,0,High Value
12825.0,157,2,518.63,1,2,2,122,5,2,At Risk
12826.0,1,6,1481.03,4,4,3,443,11,0,High Value
12829.0,186,1,92.30000000000001,1,1,1,111,3,2,At Risk
12831.0,99,2,236.06,2,2,1,221,5,0,High Value
12835.0,63,41,6043.31,2,4,4,244,10,3,Low Value
12836.0,25,11,3972.76,3,4,4,344,11,0,High Value
12837.0,205,1,554.31,1,1,2,112,4,2,At Risk
12838.0,9,9,2715.35,4,4,4,444,12,0,High Value
12839.0,3,13,4480.31,4,4,4,444,12,0,High Value
12840.0,73,3,1315.2,2,3,3,233,8,0,High Value
12841.0,5,17,3518.33,4,4,4,444,12,0,High Value
12842.0,40,2,799.0,3,2,3,323,8,0,High Value
12843.0,18,22,4886.15,4,4,4,444,12,0,High Value
12844.0,78,2,322.64,2,2,2,222,6,0,High Value
12846.0,318,1,15.58,1,1,1,111,3,2,At Risk
12847.0,23,1,765.36,3,1,3,313,7,0,High Value
12848.0,311,1,208.0,1,1,1,111,3,2,At Risk
12849.0,17,4,2039.67,4,3,4,434,11,0,High Value
12850.0,81,1,330.0,2,1,2,212,5,0,High Value
12851.0,113,1,148.95,2,1,1,211,4,0,High Value
12853.0,63,5,1950.4,2,3,4,234,9,0,High Value
12854.0,197,4,1669.52,1,3,3,133,7,2,At Risk
12855.0,8,4,612.84,4,3,2,432,9,0,High Value
12857.0,72,4,2581.6,2,3,4,234,9,0,High Value
12858.0,19,1,177.92,3,1,1,311,5,0,High Value
12859.0,94,1,575.1,2,1,2,212,5,0,High Value
12860.0,329,1,55.47,1,1,1,111,3,2,At Risk
12861.0,255,1,68.25,1,1,1,111,3,2,At Risk
12862.0,61,2,1008.3199999999999,2,2,3,223,7,0,High Value
12863.0,15,5,2271.35,4,3,4,434,11,0,High Value
12864.0,144,1,152.45,1,1,1,111,3,2,At Risk
12865.0,14,2,1755.24,4,2,4,424,10,0,High Value
12866.0,110,2,668.23,2,2,2,222,6,0,High Value
12867.0,33,6,3876.47,3,4,4,344,11,0,High Value
12868.0,9,3,640.0,4,3,2,432,9,0,High Value
12869.0,317,1,337.66999999999996,1,1,2,112,4,2,At Risk
12870.0,11,3,1676.95,4,3,3,433,10,0,High Value
12871.0,75,1,363.38,2,1,2,212,5,0,High Value
12872.0,1,11,3085.52,4,4,4,444,12,0,High Value
12873.0,33,2,1653.3,3,2,3,323,8,0,High Value
12874.0,21,2,948.42,3,2,3,323,8,0,High Value
12875.0,107,3,1013.76,2,3,3,233,8,0,High Value
12876.0,30,2,1863.77,3,2,4,324,9,0,High Value
12877.0,37,8,1419.4,3,4,3,343,10,0,High Value
12880.0,17,2,640.13,4,2,2,422,8,0,High Value
12887.0,19,1,222.4,3,1,1,311,5,0,High Value
12889.0,17,4,385.46000000000004,4,3,2,432,9,0,High Value
12890.0,23,1,336.8,3,1,2,312,6,0,High Value
12891.0,94,8,509.5,2,4,2,242,8,0,High Value
12892.0,32,1,263.38,3,1,1,311,5,0,High Value
12894.0,211,1,157.35,1,1,1,111,3,2,At Risk
12897.0,17,2,297.75,4,2,1,421,7,0,High Value
12898.0,99,2,310.96000000000004,2,2,2,222,6,0,High Value
12899.0,49,1,366.4,3,1,2,312,6,0,High Value
12900.0,58,1,340.33,2,1,2,212,5,0,High Value
12903.0,64,1,833.53,2,1,3,213,6,0,High Value
12905.0,212,2,1018.42,1,2,3,123,6,2,At Risk
12907.0,31,2,508.91,3,2,2,322,7,0,High Value
12908.0,16,3,1026.0,4,3,3,433,10,0,High Value
12909.0,60,3,924.52,2,3,3,233,8,0,High Value
12910.0,15,5,2721.48,4,3,4,434,11,0,High Value
12911.0,187,1,1680.47,1,1,3,113,5,2,At Risk
12913.0,4,9,4217.2300000000005,4,4,4,444,12,0,High Value
12914.0,36,1,223.98,3,1,1,311,5,0,High Value
12915.0,8,3,811.1,4,3,3,433,10,0,High Value
12916.0,78,3,1647.87,2,3,3,233,8,0,High Value
12917.0,36,5,3765.2,3,3,4,334,10,0,High Value
12918.0,262,1,10953.5,1,1,4,114,6,2,At Risk
12920.0,207,3,323.86,1,3,2,132,6,2,At Risk
12921.0,2,39,19333.95,4,4,4,444,12,3,Low Value
12923.0,26,2,612.9,3,2,2,322,7,0,High Value
12924.0,29,8,1535.7,3,4,3,343,10,0,High Value
12925.0,228,1,35.28,1,1,1,111,3,2,At Risk
12926.0,47,4,1548.46,3,3,3,333,9,0,High Value
12927.0,30,1,197.31,3,1,1,311,5,0,High Value
12928.0,14,7,2242.19,4,4,4,444,12,0,High Value
12931.0,16,42,50291.38,4,4,4,444,12,3,Low Value
12932.0,175,8,1698.56,1,4,3,143,8,2,At Risk
12933.0,16,5,1079.5,4,3,3,433,10,0,High Value
12934.0,372,1,181.65,1,1,1,111,3,2,At Risk
12935.0,11,8,2083.16,4,4,4,444,12,0,High Value
12937.0,99,5,1593.34,2,3,3,233,8,0,High Value
12939.0,15,12,13683.0,4,4,4,444,12,0,High Value
12941.0,360,1,377.49,1,1,2,112,4,2,At Risk
12942.0,1,1,258.75,4,1,1,411,6,0,High Value
12943.0,194,2,496.5,1,2,2,122,5,2,At Risk
12945.0,292,1,437.16,1,1,2,112,4,2,At Risk
12946.0,72,1,324.45,2,1,2,212,5,0,High Value
12947.0,9,1,304.04,4,1,1,411,6,0,High Value
12948.0,366,2,252.48000000000002,1,2,1,121,4,2,At Risk
12949.0,18,14,11359.48,4,4,4,444,12,0,High Value
12951.0,22,9,2149.65,3,4,4,344,11,0,High Value
12953.0,158,1,498.96000000000004,1,1,2,112,4,2,At Risk
12954.0,274,1,162.45,1,1,1,111,3,2,At Risk
12956.0,320,3,413.82,1,3,2,132,6,2,At Risk
12957.0,177,5,4689.43,1,3,4,134,8,2,At Risk
12958.0,36,2,539.49,3,2,2,322,7,0,High Value
12959.0,120,1,150.95,2,1,1,211,4,0,High Value
12960.0,49,4,1322.07,3,3,3,333,9,0,High Value
12961.0,15,1,211.99,4,1,1,411,6,0,High Value
12963.0,1,5,1744.96,4,3,4,434,11,0,High Value
12964.0,73,1,132.24,2,1,1,211,4,0,High Value
12967.0,7,2,2646.02,4,2,4,424,10,0,High Value
12969.0,238,1,122.45,1,1,1,111,3,2,At Risk
12970.0,16,6,1072.73,4,4,3,443,11,0,High Value
12971.0,2,33,4782.88,4,4,4,444,12,3,Low Value
12972.0,49,4,1161.2,3,3,3,333,9,0,High Value
12973.0,49,1,385.55,3,1,2,312,6,0,High Value
12974.0,201,1,264.15,1,1,1,111,3,2,At Risk
12975.0,72,6,2100.09,2,4,4,244,10,0,High Value
12976.0,14,7,2417.7799999999997,4,4,4,444,12,0,High Value
12977.0,137,3,478.39,1,3,2,132,6,0,High Value
12978.0,21,5,2502.82,3,3,4,334,10,0,High Value
12979.0,365,1,517.7,1,1,2,112,4,2,At Risk
12980.0,22,12,8870.880000000001,3,4,4,344,11,0,High Value
12982.0,30,7,2354.27,3,4,4,344,11,0,High Value
12983.0,234,1,490.08000000000004,1,1,2,112,4,2,At Risk
12986.0,64,10,2729.84,2,4,4,244,10,0,High Value
12987.0,56,3,753.51,2,3,3,233,8,0,High Value
12989.0,60,18,6627.64,2,4,4,244,10,0,High Value
12990.0,53,4,546.0,3,3,2,332,8,0,High Value
12991.0,25,1,261.06,3,1,1,311,5,0,High Value
12992.0,361,1,93.35000000000001,1,1,1,111,3,2,At Risk
12993.0,81,4,844.87,2,3,3,233,8,0,High Value
12996.0,11,1,355.5,4,1,2,412,7,0,High Value
12997.0,30,4,884.02,3,3,3,333,9,0,High Value
12998.0,128,3,920.08,2,3,3,233,8,0,High Value
13000.0,361,1,497.65000000000003,1,1,2,112,4,2,At Risk
13001.0,40,20,14353.28,3,4,4,344,11,0,High Value
13002.0,52,2,293.18,3,2,1,321,6,0,High Value
13004.0,22,18,5994.94,3,4,4,344,11,0,High Value
13005.0,67,2,485.98,2,2,2,222,6,0,High Value
13007.0,215,1,175.25,1,1,1,111,3,2,At Risk
13008.0,33,2,382.66,3,2,2,322,7,0,High Value
13009.0,308,1,234.0,1,1,1,111,3,2,At Risk
13010.0,10,2,330.12,4,2,2,422,8,0,High Value
13011.0,8,1,50.550000000000004,4,1,1,411,6,0,High Value
13012.0,65,3,1310.99,2,3,3,233,8,0,High Value
13013.0,7,18,7814.83,4,4,4,444,12,0,High Value
13014.0,68,1,1914.8,2,1,4,214,7,0,High Value
13015.0,74,6,3240.14,2,4,4,244,10,0,High Value
13018.0,49,7,2485.46,3,4,4,344,11,0,High Value
13019.0,15,6,1229.95,4,4,3,443,11,0,High Value
13020.0,198,2,618.96,1,2,2,122,5,2,At Risk
13021.0,10,8,2270.86,4,4,4,444,12,0,High Value
13022.0,65,1,65.3,2,1,1,211,4,0,High Value
13023.0,164,1,759.13,1,1,3,113,5,2,At Risk
13024.0,106,2,555.87,2,2,2,222,6,0,High Value
13025.0,367,1,323.39,1,1,2,112,4,2,At Risk
13026.0,124,4,757.72,2,3,3,233,8,0,High Value
13027.0,21,13,10423.2,3,4,4,344,11,0,High Value
13029.0,10,2,679.8,4,2,2,422,8,0,High Value
13030.0,4,1,427.74,4,1,2,412,7,0,High Value
13031.0,43,5,3419.27,3,3,4,334,10,0,High Value
13032.0,28,7,1833.37,3,4,4,344,11,0,High Value
